eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,8,339,JUNTOS POR EL CAMBIO,POSITIVO,74
GENERAL,Comuna 01,1,8,339,LA LIBERTAD AVANZA,POSITIVO,55
GENERAL,Comuna 01,1,8,339,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
GENERAL,Comuna 01,1,8,339,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,8,339,,EN BLANCO,3
GENERAL,Comuna 01,1,8,339,,NULO,0
GENERAL,Comuna 01,1,8,339,,IMPUGNADO,0
GENERAL,Comuna 01,1,8,339,,RECURRIDO,0
GENERAL,Comuna 01,1,8,339,,COMANDO,0
GENERAL,Comuna 01,1,9,345,UNION POR LA PATRIA,POSITIVO,109
GENERAL,Comuna 01,1,9,345,JUNTOS POR EL CAMBIO,POSITIVO,83
GENERAL,Comuna 01,1,9,345,LA LIBERTAD AVANZA,POSITIVO,36
GENERAL,Comuna 01,1,9,345,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,15
GENERAL,Comuna 01,1,9,345,HACEMOS POR NUESTRO PAIS,POSITIVO,7
GENERAL,Comuna 01,1,9,345,,EN BLANCO,6
GENERAL,Comuna 01,1,9,345,,NULO,1
GENERAL,Comuna 01,1,9,345,,IMPUGNADO,0
GENERAL,Comuna 01,1,9,345,,RECURRIDO,0
GENERAL,Comuna 01,1,9,345,,COMANDO,0
GENERAL,Comuna 01,1,10,344,UNION POR LA PATRIA,POSITIVO,98
GENERAL,Comuna 01,1,10,344,JUNTOS POR EL CAMBIO,POSITIVO,86
GENERAL,Comuna 01,1,10,344,LA LIBERTAD AVANZA,POSITIVO,33
GENERAL,Comuna 01,1,10,344,HACEMOS POR NUESTRO PAIS,POSITIVO,12
GENERAL,Comuna 01,1,10,344,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,4
GENERAL,Comuna 01,1,10,344,,EN BLANCO,2
GENERAL,Comuna 01,1,10,344,,NULO,3
GENERAL,Comuna 01,1,10,344,,IMPUGNADO,0
GENERAL,Comuna 01,1,10,344,,RECURRIDO,0
GENERAL,Comuna 01,1,10,344,,COMANDO,0
GENERAL,Comuna 01,1,11,347,UNION POR LA PATRIA,POSITIVO,100
GENERAL,Comuna 01,1,11,347,JUNTOS POR EL CAMBIO,POSITIVO,86
GENERAL,Comuna 01,1,11,347,LA LIBERTAD AVANZA,POSITIVO,48
GENERAL,Comuna 01,1,11,347,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,5
GENERAL,Comuna 01,1,11,347,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,11,347,,EN BLANCO,6
GENERAL,Comuna 01,1,11,347,,NULO,2
GENERAL,Comuna 01,1,11,347,,IMPUGNADO,0
GENERAL,Comuna 01,1,11,347,,RECURRIDO,0
GENERAL,Comuna 01,1,11,347,,COMANDO,2
GENERAL,Comuna 01,1,12,343,UNION POR LA PATRIA,POSITIVO,102
GENERAL,Comuna 01,1,12,343,JUNTOS POR EL CAMBIO,POSITIVO,90
GENERAL,Comuna 01,1,12,343,LA LIBERTAD AVANZA,POSITIVO,41
GENERAL,Comuna 01,1,12,343,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,11
GENERAL,Comuna 01,1,12,343,HACEMOS POR NUESTRO PAIS,POSITIVO,5
GENERAL,Comuna 01,1,12,343,,EN BLANCO,8
GENERAL,Comuna 01,1,12,343,,NULO,2
GENERAL,Comuna 01,1,12,343,,IMPUGNADO,0
GENERAL,Comuna 01,1,12,343,,RECURRIDO,0
GENERAL,Comuna 01,1,12,343,,COMANDO,0
GENERAL,Comuna 01,1,13,344,UNION POR LA PATRIA,POSITIVO,92
GENERAL,Comuna 01,1,13,344,JUNTOS POR EL CAMBIO,POSITIVO,76
GENERAL,Comuna 01,1,13,344,LA LIBERTAD AVANZA,POSITIVO,54
GENERAL,Comuna 01,1,13,344,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,13,344,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,13,344,,EN BLANCO,12
GENERAL,Comuna 01,1,13,344,,NULO,2
GENERAL,Comuna 01,1,13,344,,IMPUGNADO,0
GENERAL,Comuna 01,1,13,344,,RECURRIDO,0
GENERAL,Comuna 01,1,13,344,,COMANDO,0
GENERAL,Comuna 01,1,14,343,UNION POR LA PATRIA,POSITIVO,90
GENERAL,Comuna 01,1,14,343,JUNTOS POR EL CAMBIO,POSITIVO,78
GENERAL,Comuna 01,1,14,343,LA LIBERTAD AVANZA,POSITIVO,49
GENERAL,Comuna 01,1,14,343,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,14
