long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna
-58.439986,-34.597596,VILLA CRESPO CENTRAL,ACEVEDO,460,,VILLA CRESPO,15
-58.479094,-34.587898,AMISTAD Y UNION,ANDONAEGUI,1246,,Parque Chas,15
-58.459885,-34.60345,AMIGOS POR EL TEJO,FRAGATA SARMIENTO,1942,,Paternal,15
-58.476851,-34.584908,AMIGOS DEL VILLA MODELO,ARISMENDI,2686,,Parque Chas,15
-58.478116,-34.58579,DE TERCERA EDAD LA ESPERANZA DE PARQUE CHAS,ARISMENDI,2801,,PARQUE CHAS,15
-58.465326,-34.614535,AMIGOS DE VILLA MITRE,AVENIDA BOYACA,1293,,Villa General Mitre,11
-58.469623,-34.58213,A EMPEZAR,AV. CHORROARIN,1260,,VILLA URQUIZA,15
-58.452683,-34.586465,JOVENES DEL TERCER MILENIO-ASOCIACION CIVIL,AV. FOREST,455,,Chacarita,15
-58.479161,-34.582158,EL LABERINTO DE PARQUE CHAS,AV. GRAL. BENJAMIN VICTORICA,2642,,Parque Chas,15
-58.445475,-34.589853,DR RENE G FAVALORO (EX BONPLAND),BONPLAND,860,,Chacarita,15
-58.442962,-34.597825,22 DE AGOSTO,CAMARGO,825,,Villa Crespo,15
-58.469627,-34.582402,ABUELOS DE VILLA ORTUZAR,CHORROARIN AV,1236,,Villa Ortúzar,15
-58.471938,-34.580436,JUSTICIA SOCIAL,CHARLONE,2185,,LA PATERNAL,15
-58.469075,-34.593296,LA ISLA DE LA PATERNAL,DONATO ALVAREZ,2696,,Paternal,15
-58.468379,-34.587906,EL FORTIN DE VILLA ORTUZAR,ESTOMBA,294,,Villa Ortúzar,15
-58.452148,-34.586156,CHACARITA COLEGIALES,GUEVARA,525,,Chacarita,15
-58.476443,-34.58662,UNIDOS PARA SIEMPRE,LLERENA,2727,,Parque Chas,15
-58.467065,-34.601571,DE VIDA EN AMOR,MANUEL RICARDO TRELLES,2349,,Paternal,15
-58.458412,-34.595958,"TIERRA, TECHO Y TRABAJO",NEWBERY JORGE,4866,,Chacarita,15
-58.460566,-34.600636,CARLOS MORA,NICASIO ORO,2242,,Paternal,15
-58.469067,-34.594546,LOS ABUELOS DEL CIRCULO DE LA PATERNAL,PAZ SOLDAN,5035,,Paternal,15
-58.369571,-34.6316,AMISTAD Y ESPERANZA,TOMAS LIBERTI,1135,,La Boca,4
-58.365605,-34.643172,DONA BETTY DE LA BOCA,IRALA,1562,,La Boca,4
-58.469461,-34.676591,GRANDES ESPERANZAS,LARRAYA,4194,,VILLA LUGANO,8
-58.483746,-34.619634,Sueño Cumplido,Concordia,1305,,Villa Santa Rita,11
-58.46875,-34.63346,Floparch,J. B. Alberdi,2908,,Flores,7
-58.509699,-34.577407,DR. RAUL MATERA,Av. Albarellos,2879,,Villa Pueyrredón,12
-58.516677,-34.600287,VENGO A PROPONERLES UN SUEÑO,SANABRIA,4277,,Villa Devoto,11
-58.491214,-34.589682,TODOS UNIDOS,Pedro Moran,2456,,Agronomía,15
-58.480797,-34.609597,NELLY OMAR,juan agustin garcía,2791,,Villa Santa Rita,11
-58.494416,-34.605683,CARLOS GARDEL 1º,Baigorria,3373,,Villa del Parque,11
-58.423132,-34.61456,JOVENES CORAZONES,QUINTINO BOCAYUVA,193,,Almagro,5
-58.473381,-34.611388,VIDA,CESAR DIAZ,2451,,Villa General Mitre,11
-58.522955,-34.641509,EL CAMINO REAL DE LINIERS,IBARROLA,6864,,Liniers,9
-58.37908,-34.649324,21 DE DICIEMBRE,AV. GRAL IRIARTE,2295,,Barracas,4
-58.457016,-34.567769,MARIO GAGLIANO,JOSE HERNANDEZ,2786,PB,Belgrano,13
-58.49162,-34.619131,LA VIDA ES BELLA,BAHIA BLANCA,1609,,Floresta,10
-58.47943,-34.582459,JUAN MANUEL DE ROSAS,AVALOS,1554,,Parque Chas,15
-58.488156,-34.670733,GENERAL PUEYRREDON,ZUVIRIA,5921,,Villa Lugano,8
-58.50356,-34.57598,AMIGOS DE LA PLAZA ALEM,larsen,2450,,Villa Pueyrredón,12
-58.49112,-34.606392,ALEGRES MOMENTOS,CUENCA,2545,,Villa del Parque,11
-58.48979,-34.597174,SAGRADO CORAZON,AV SAN MARTIN,5125,,Agronomía,15
-58.517565,-34.652882,CUQUI ROBLES,EMILIO CASTRO,7035,,Liniers,9
-58.474976,-34.678041,MILAGRO AL SUR,SAYOS,5733,,Villa Lugano,8
-58.385995,-34.614767,ESPACIO PORTEÑO,SAN JOSE,543,,Monserrat,1
-58.404013,-34.656472,BARRIO ESPORA,Av. Osvaldo Cruz,3890,,Nueva Pompeya,4
-58.389915,-34.622069,DR. RAMON CARRILLO,Solis,1154,,Constitución,1
-58.459523,-34.641364,DR. FAVALORO FLORES SUR,PILLADO,1076,,Flores,7
-58.483682,-34.63176,LA TACITA,BACACAY,3975,,Floresta,10
-58.489921,-34.572153,CABOPE,Baunes,2751,,Villa Urquiza,12
-58.516844,-34.633073,CENTRO DE JUBILADOS BARRIO KENNEDY,Juan B.Justo,9100,,Liniers,9
-58.468258,-34.642247,ALEGRIA Y FELICIDAD,portela,891,,Parque Avellaneda,9
-58.400284,-34.599662,CENTRO DE JUBILADOS Y PENSIONADOS SORDOMUDOS DE LA REPUBLICA ARGENTINA,AV CORDOBA,2330,,Balvanera,3
